sum_fit 	 max_fit 	 min_fit 
39930.93093638882 	 468.73013170840284 	 330.652051952069 
40120.406938003005 	 471.43286335161946 	 324.5589567525746 
40620.713630580096 	 474.29994555756076 	 329.6629318593023 
40890.97765653247 	 475.3324397725285 	 331.6633623994559 
41256.39292970639 	 478.06882872518304 	 334.88988512889125 
41870.716106695254 	 480.2696292545237 	 347.6125263554072 
42259.60807928035 	 482.0933622320712 	 354.1344685209866 
42310.89633752106 	 482.9276798225095 	 351.1566516055542 
42926.976514247035 	 484.15649212250673 	 358.7464020196426 
42771.47829877147 	 481.916121756894 	 362.185093239096 
42706.81738100619 	 481.916121756894 	 354.6970425151456 
43042.01159049853 	 481.916121756894 	 359.66811561653867 
43428.66462816548 	 482.21498903536633 	 363.9322384072426 
43571.19069390432 	 482.21498903536633 	 375.1358915175535 
43874.638792418016 	 483.6883939993822 	 370.9375180284615 
43484.82497759218 	 483.6883939993822 	 367.55024440994134 
43754.16428571516 	 483.6883939993822 	 372.61354544186173 
43521.195398002776 	 487.22910165672516 	 371.6700398733467 
43763.79764326938 	 487.4717378595382 	 374.97507708250924 
43765.09427531621 	 485.80298875953855 	 378.1966505378636 
43813.7839038153 	 486.9309660537369 	 375.7917678060461 
43977.115645393904 	 486.9309660537369 	 382.5401115431715 
43961.61373994195 	 486.9309660537369 	 374.6197889904415 
43840.454637190975 	 486.9309660537369 	 374.1191924537934 
43957.436014368504 	 484.680691005755 	 374.8823781455943 
43849.23405791179 	 483.041305679893 	 378.78799531704226 
44038.37594796374 	 483.1475332824502 	 379.4443960619227 
44337.93088154317 	 483.1475332824502 	 382.70539198219814 
44779.61407897688 	 483.1475332824502 	 395.9147200793328 
45404.2007594992 	 483.3276506429841 	 394.3301565135893 
45332.911838017535 	 483.3276506429841 	 394.1359385740508 
45574.06157739852 	 483.3276506429841 	 408.4377044290326 
45726.50144481227 	 483.3276506429841 	 414.9793236981923 
45878.06751131726 	 483.3276506429841 	 412.9362111579537 
45739.69860939272 	 483.3276506429841 	 410.7244590172806 
45675.33069684138 	 482.9642267047388 	 422.16376444296424 
45768.86693178244 	 482.9642267047388 	 440.4395684401683 
45830.96111764242 	 482.9642267047388 	 434.58999326458604 
45915.232354146676 	 483.7287480096567 	 435.5109561551078 
45735.411270758785 	 483.7287480096567 	 436.2818656345843 
45756.75127113449 	 483.7287480096567 	 434.58999326458604 
45810.74046059925 	 484.0904164884692 	 432.22192095499554 
45942.54647539419 	 484.0904164884692 	 434.75797074670663 
46084.21761052788 	 484.0904164884692 	 432.4762689190252 
46283.3300165853 	 484.0904164884692 	 434.58999326458604 
46407.76456374262 	 481.57668114662255 	 437.51226358562496 
46488.39404483636 	 483.7287480096567 	 436.80513213947484 
46440.21788693439 	 483.7287480096567 	 436.80513213947484 
46539.6300104766 	 483.7287480096567 	 436.8045107610085 
46629.8929284333 	 483.7287480096567 	 436.7060869218366 
46592.72564646221 	 484.1223585259283 	 435.8581646032144 
46771.37643532534 	 484.1223585259283 	 435.3985392400642 
47062.7992874147 	 484.1223585259283 	 437.94540626699745 
47114.69909940731 	 484.1223585259283 	 449.2010241186068 
