sum_fit 	 max_fit 	 min_fit 
40095.48419049834 	 477.98732684849625 	 322.2175896475526 
40049.7651904017 	 476.67995148623123 	 333.5814641646455 
40197.37359294545 	 474.5773040698686 	 345.1484041556856 
39962.260058899235 	 472.07137257954395 	 331.1078846062851 
40369.314743240364 	 477.7338631956758 	 339.9636959278861 
40761.47730618331 	 479.1612298825191 	 329.8271359401098 
40659.27346342849 	 485.9757627342758 	 335.3251310993648 
40757.73908729663 	 480.78034063279637 	 340.6265176781238 
40897.78805881107 	 488.45127895617713 	 345.24014979857253 
41010.88214725853 	 489.6523588854303 	 350.94943183121427 
41475.92403442976 	 489.6523588854303 	 353.8276708344484 
41681.82412439015 	 490.96013644437426 	 347.9120925544694 
42068.5456353645 	 491.7032269514599 	 343.1330958318596 
42760.03503453816 	 491.50184623788346 	 352.8917161440537 
43176.92199188475 	 491.2299786359903 	 359.0964844491243 
43438.742971011074 	 491.2373242865049 	 359.78961048341955 
43319.10533582557 	 489.9729295239857 	 363.56459688315994 
43734.46514884577 	 492.34409076226154 	 360.51111380832396 
44126.14985317314 	 493.2548024710502 	 372.42419274431137 
44449.19740310172 	 493.5644842975649 	 380.5704267449571 
44670.766218696284 	 493.58994426110434 	 380.06722562326456 
44951.49820944156 	 492.09950206483177 	 384.66823691438856 
45461.00021902459 	 493.4601078179412 	 391.8866909839702 
45703.02189588478 	 493.4601078179412 	 404.8524641045135 
46012.78682552111 	 494.3028266774337 	 396.06229218762326 
46030.303508145706 	 493.76981292043774 	 402.73556441150185 
46167.497979750886 	 494.360890389922 	 406.7361366722755 
46372.909344302985 	 494.360890389922 	 405.27479026324283 
46244.306978104505 	 494.360890389922 	 409.85146352280833 
46223.71789908327 	 494.05392533082386 	 416.0556724249702 
46383.0560903478 	 494.05392533082386 	 407.8655367688118 
46451.98059867796 	 494.65833479402716 	 417.2761792595504 
46280.7643263573 	 494.5615173511603 	 417.6738001526013 
46164.639522027355 	 494.5615173511603 	 416.05245432277843 
46019.24301361665 	 494.5615173511603 	 414.78156586449086 
46197.76488860441 	 494.2375054501309 	 420.1559429650641 
46596.821429669435 	 494.7122010952819 	 419.7568854771464 
46706.92080212187 	 494.7122010952819 	 424.30302049774207 
46532.15484078956 	 494.4074698813581 	 427.55226934408427 
46795.3776388541 	 494.4074698813581 	 426.1354215324495 
46801.69496310731 	 494.4074698813581 	 422.8861726861072 
46752.15952154426 	 493.50418890741616 	 424.4148848898501 
46698.310099328555 	 493.6044115897007 	 424.4148848898501 
46543.167526920035 	 493.1887977528861 	 425.0082060433607 
46688.67672797551 	 493.59168097579925 	 429.5942777837354 
47070.41552285257 	 494.33594303952805 	 430.2017268578072 
47079.017359883364 	 493.59475359257533 	 428.82093266117954 
47052.366537091206 	 493.8967679102908 	 429.46659731029774 
47016.42598076558 	 493.58811477701545 	 431.788211778092 
47085.48520467868 	 493.8967679102908 	 429.5877263193529 
47351.04913272508 	 493.8967679102908 	 432.1304658472813 
47482.68763820207 	 493.58811477701545 	 437.25426640644514 
47362.13398731315 	 493.58811477701545 	 431.53911403648715 
47527.34160337543 	 493.7808807173052 	 431.75941777698864 
47502.5779757059 	 494.05392533082386 	 431.4145403252574 
47540.78584361634 	 493.7589126511282 	 434.30592896835446 
47414.60355372958 	 494.0302906026576 	 437.9511812979091 
47644.78532002271 	 494.0428538470487 	 446.7499675947181 
47775.04748689735 	 494.08682170600935 	 452.1703428112978 
47912.6644198978 	 494.08682170600935 	 453.0942933648952 
47966.96499079661 	 494.08682170600935 	 453.0942933648952 
48137.24629368985 	 494.31434852554924 	 458.2832635123676 
48155.04633952255 	 494.31434852554924 	 458.2832635123676 
48190.33844849614 	 494.31434852554924 	 458.49811885144027 
48121.27487241007 	 494.31434852554924 	 458.2832635123676 
48068.55404215284 	 494.31434852554924 	 458.5130999541062 
48069.13449431175 	 494.04202358192174 	 463.28949684129884 
48213.97065284748 	 494.04202358192174 	 463.5249402345278 
48321.26303978694 	 494.04202358192174 	 463.5034234042711 
48358.413184340854 	 494.33594303952805 	 463.45433532423283 
48139.556551825895 	 494.33594303952805 	 463.45433532423283 
48189.94558858458 	 494.04202358192174 	 463.1846056671311 
48172.21406136498 	 494.04202358192174 	 463.1846056671311 
48100.80840367693 	 494.22289489200136 	 462.9511862870544 
48108.829247673675 	 494.33594303952805 	 462.99374649357503 
48055.78625630573 	 494.33594303952805 	 463.1005985236809 
48094.87332637381 	 494.0428538470487 	 463.7382340011974 
48225.74109531037 	 494.4074698813581 	 463.6375062111978 
48016.65158502314 	 494.4074698813581 	 463.11187203832253 
48089.39500642067 	 494.4074698813581 	 463.6375062111978 
48135.01106005514 	 494.4074698813581 	 462.9511862870544 
48101.120684711655 	 494.4074698813581 	 462.96305361534405 
48146.88076894601 	 494.4074698813581 	 462.96305361534405 
48294.62299709564 	 494.4074698813581 	 462.96305361534405 
48475.0063914823 	 494.4074698813581 	 463.5249402345278 
48443.904271360705 	 494.4074698813581 	 464.0322877108956 
48325.799839270854 	 494.4074698813581 	 463.6043643858743 
48266.13867407975 	 494.4074698813581 	 463.8421051284895 
48288.20274467333 	 494.4074698813581 	 464.154932376533 
48268.940714494165 	 494.4074698813581 	 464.062763734333 
48099.636365554885 	 494.4074698813581 	 464.13630457087834 
48263.43656062524 	 494.4074698813581 	 462.9511862870544 
48382.03979941293 	 494.4074698813581 	 463.9684479556406 
48369.678389346285 	 494.4074698813581 	 463.9684479556406 
48385.483133133894 	 494.4074698813581 	 473.3363618041052 
48403.30499650475 	 494.4074698813581 	 473.4242532522179 
48488.109603759316 	 494.4074698813581 	 473.3155615850105 
48568.08231350688 	 494.0428538470487 	 473.3155615850105 
48413.3993288532 	 494.0428538470487 	 473.07987670849616 
48419.30365441569 	 494.33594303952805 	 473.11366350152673 
