sum_fit 	 max_fit 	 min_fit 
39658.89437608048 	 471.28034795515964 	 322.0417533933361 
39650.10512243236 	 478.86415290209334 	 309.1416876418949 
39633.796986869536 	 469.483712336023 	 317.87958539493826 
40249.49115904026 	 468.8361035220081 	 317.43328765311 
39939.49179473673 	 465.55141161066217 	 323.6444132541574 
39835.61299796472 	 466.6397984099823 	 328.8248959593826 
39911.702731544 	 470.41748317207544 	 336.8752724786961 
39826.063597678876 	 474.97778843309095 	 330.1751263161976 
40306.106384484825 	 475.2275952474329 	 339.85056577016985 
40489.792395233846 	 478.28069806582255 	 333.4628252588687 
41026.060372964166 	 480.9116592149836 	 337.0702255965904 
41016.692907531484 	 479.0811716802557 	 341.46465827823437 
41261.19748931984 	 481.38730961721365 	 333.2413704333511 
41370.182054498546 	 483.91103415107784 	 345.20897558168895 
41793.55442100546 	 483.884701382127 	 352.3005794647263 
42199.447544591574 	 484.0544106874811 	 344.78565904222484 
42853.17638509007 	 482.6112207071311 	 353.7972768788238 
42869.24275666396 	 485.612631452041 	 354.97461296014416 
42525.65339003867 	 485.13779300162764 	 350.7343176423483 
42678.459659111584 	 487.38933415741053 	 352.8096067173392 
43120.88414308209 	 487.5633182359753 	 359.45707413832747 
43383.774103769814 	 488.3265558299993 	 357.95718680513073 
43640.20737803276 	 489.97741229318683 	 373.2177560351223 
43551.611925080804 	 489.9145166700123 	 375.9213262419902 
43656.37818410402 	 488.31535046238963 	 384.8316193106465 
44112.51014698055 	 492.393567100986 	 390.7006909445403 
43894.531502265556 	 486.60694397370514 	 390.61479381981064 
43784.06324888147 	 487.30055390901 	 390.8295564983083 
43637.19386794078 	 487.71458700567734 	 385.20027385577816 
43517.396338536666 	 489.13364970398425 	 383.9458631474853 
43742.770576622395 	 485.0129360967708 	 388.69874087003967 
43602.613319747 	 487.03803174004895 	 385.6511650952923 
43436.383036236475 	 485.61800128575106 	 381.7643747847443 
43324.995930332676 	 482.1528635251582 	 382.8255838759445 
43638.54401611279 	 481.7925071728389 	 390.06152209565744 
43584.51170862801 	 482.3807819729209 	 387.5753820055915 
43673.60445858503 	 482.19189312642663 	 388.02163564657565 
43638.67131868651 	 488.87519121477897 	 385.3365959050756 
43851.67964124759 	 485.79846138186906 	 385.91508822149365 
43710.69278614152 	 488.99428380509426 	 390.30639432193095 
43536.306281587924 	 486.95677257237355 	 387.2649710471683 
43422.62506465455 	 483.81780502570973 	 387.32795342980165 
43377.87476290415 	 484.0133928883628 	 390.43583645906017 
43398.692728150265 	 480.7622982893513 	 387.89976279374673 
43525.31303873658 	 484.17513099038655 	 392.49730874161327 
43631.48780075472 	 483.1045613681691 	 387.97788150229326 
43658.20904985504 	 484.5686457860207 	 385.5613749690936 
43963.99718586021 	 485.4847067273701 	 388.1226043475977 
43702.644924580745 	 484.17059562859083 	 389.61751074414695 
43877.410861128556 	 480.28375344311473 	 386.81207372814333 
43873.24072349382 	 483.1980865251535 	 384.43426776495795 
43728.815941347464 	 482.51755421486774 	 386.55395602209455 
44037.784397164716 	 481.289132490384 	 386.0122721654011 
44106.31462493171 	 483.89123969711824 	 389.90817473536924 
43931.84401591372 	 486.45677462451835 	 386.60130300259686 
44143.32622733447 	 484.5796773534828 	 389.7458721521278 
43909.15842195116 	 482.8369261801877 	 385.4658740423296 
43950.90780389481 	 482.38015271476985 	 389.33855907460315 
43934.94887892557 	 482.10144324591084 	 388.41761024768346 
44150.60766262398 	 484.3827417721791 	 389.69964810584975 
44163.58516743675 	 483.8849896423877 	 388.55709194158175 
44365.46972623328 	 484.37126301493726 	 391.19955218363435 
44544.3777607464 	 484.68140311074296 	 394.63876432285554 
44425.033534044174 	 486.05166283159997 	 391.2493112273577 
44165.76343412904 	 482.0672138032033 	 391.7994680222997 
44343.54724514746 	 479.83679297145255 	 396.43008892635265 
44263.076808607846 	 485.5166837337303 	 396.6805535788528 
44055.666262144194 	 483.9613838822967 	 398.75005849185254 
44273.622353008825 	 484.64695512521087 	 394.8842276578571 
44511.92810882634 	 485.61360880011796 	 400.0222903396177 
44284.48018559236 	 483.1264703954042 	 399.9081926603795 
44145.24859704171 	 481.0673192599171 	 395.6468862998373 
44195.25543695262 	 484.5742402238432 	 397.3117342521184 
44486.30826028835 	 482.67633904142224 	 399.42374919869553 
44675.39337994855 	 486.01918452276664 	 399.647227806817 
44685.24518030387 	 486.9459397484772 	 401.1137089320657 
44636.81739050475 	 485.1927931774128 	 401.3512417279836 
44655.01684244636 	 486.15093026288076 	 401.40030574857354 
44627.20252081586 	 486.06923885180237 	 400.696469676917 
44729.55861788841 	 485.39871272366526 	 404.6625923886112 
44951.336918420806 	 485.4419554788777 	 406.7784964095334 
44969.35542524556 	 484.8109183799144 	 407.7142295949462 
44875.30682007101 	 484.1495088453008 	 409.7943119692229 
44732.377677334625 	 484.16782365842005 	 406.4287755113312 
44902.056935578636 	 485.3769510287552 	 400.88738887128096 
45096.09266346376 	 485.8517802686366 	 409.3991858072278 
45046.87175687415 	 483.78212850590137 	 409.8447982760216 
45057.56034311363 	 484.3404801624372 	 410.9116338615679 
45401.44108027163 	 484.34155891469055 	 412.3700391943113 
45460.769952347386 	 486.5972999320762 	 410.84196978908733 
45506.41801226382 	 488.04030309279676 	 411.8775636840121 
45572.73416854409 	 486.2556144211186 	 412.9354917414309 
45526.236827506735 	 487.21346133648944 	 410.8750126324314 
45766.627612936594 	 487.9549927375 	 410.5138900463982 
45693.195752449814 	 488.230637772265 	 412.7122945957284 
45672.402772447924 	 487.0214056439122 	 419.09265166659645 
45658.83422624275 	 486.3825607839613 	 413.2422420035479 
45641.89502331202 	 486.69713254003796 	 417.64542010613525 
45611.01192078338 	 487.04153294547103 	 415.87814878220286 
