sum_fit 	 max_fit 	 min_fit 
39909.71772002869 	 472.32308815081973 	 326.7114071569612 
40235.23783008704 	 471.6759811831612 	 339.22780773934846 
40030.47372929383 	 474.24097194798264 	 324.21597599849247 
40126.76456501862 	 468.6582167488124 	 328.62877741212384 
40495.16853954249 	 469.5317751907244 	 334.57330284987125 
40431.34435510075 	 471.21806543101707 	 344.08236399190196 
40820.461945370786 	 479.03411950921145 	 332.21164567177436 
41096.715236676566 	 477.35391337724263 	 334.9616424006342 
41280.01867349896 	 482.76804001302514 	 331.136923570524 
41491.1547497015 	 483.48895015726873 	 329.6538195803298 
41883.74178275124 	 482.9087078681755 	 334.2334697695554 
41785.17161477754 	 483.3965364097859 	 330.1292759265632 
42281.74478547523 	 484.7249000618433 	 348.48613159630673 
42669.00364198174 	 486.2147474097087 	 354.00616841104295 
42680.119007255336 	 484.7112250179166 	 356.32464998300316 
42866.08992446534 	 487.33903549021545 	 355.6775398116192 
43144.17862156304 	 486.8739861233946 	 353.65944730262487 
43416.54145889214 	 488.52185047985313 	 352.3327621114958 
43498.92287800185 	 488.717833701562 	 356.8331467363221 
43563.50421668544 	 486.51162293803566 	 369.08761086395845 
43809.77324206659 	 486.17202750674323 	 366.22805608550993 
44205.85891393622 	 486.6545751544571 	 374.86700738723357 
44333.675981888664 	 486.4867842891575 	 380.1008573642631 
44411.192324164556 	 486.8213011519899 	 389.78228199552524 
44660.317213977294 	 487.62729009149905 	 395.3790203591456 
44811.84448377256 	 489.2565227884778 	 397.29866010143496 
44803.95724111445 	 488.72494270077436 	 394.49050530285626 
44813.70797238629 	 487.99802456232135 	 398.88496600180815 
44730.44863731449 	 489.9864036103738 	 400.6650979708943 
45035.68471458101 	 491.74559197993426 	 399.79562375245575 
45151.95623604149 	 489.5351322885971 	 402.8426144712047 
45735.058908273204 	 489.49957702040683 	 400.61958843741456 
45892.27727797657 	 490.22514886004734 	 404.4291072173318 
45993.97693779822 	 488.95720867903475 	 411.0967093554874 
45766.45099506236 	 490.6423807099339 	 409.38504226424783 
45948.443502288836 	 489.3553193546018 	 412.6380525100371 
45787.05289749248 	 488.98882597988546 	 408.30542459937436 
45802.68767728068 	 489.3553193546018 	 407.3033245931806 
45979.89286385213 	 489.3885853559888 	 408.89771065036985 
46077.18658845086 	 488.4943174446907 	 415.03216215833146 
46290.12222207735 	 489.91555390169384 	 422.3946521380142 
46216.142965755775 	 490.53155122586116 	 424.34210312648 
46493.38621698232 	 490.0833079803337 	 422.3132500725604 
46698.32869106911 	 491.079537598948 	 423.04334884883065 
46712.00084336392 	 490.1055572471353 	 421.6708036335591 
46699.57262765842 	 490.97111010856867 	 430.0195736632336 
46756.83979896284 	 491.19414741018585 	 429.2967828119521 
46678.45205416844 	 491.6945280639421 	 428.39493501050526 
46717.77030403912 	 490.36055992947814 	 427.88700096227564 
46764.51619287886 	 489.9991734887074 	 429.7859111773812 
46681.675812974536 	 489.0503737210102 	 429.9862149340332 
46743.29846929076 	 490.3567804653588 	 431.42305371701434 
46636.468261873204 	 490.0719084697341 	 429.2883006153198 
46363.6857965754 	 490.28654013575414 	 427.8197498776831 
46545.07480745343 	 491.7630819068557 	 428.2931592165568 
46548.599731150105 	 491.7630819068557 	 431.09137034014043 
46746.9443871267 	 491.7630819068557 	 429.57005610650265 
46919.21197754057 	 491.86660767378265 	 431.66836369838654 
46908.37145780944 	 490.09924509907086 	 432.49121465643873 
46818.33745774921 	 489.184238818221 	 429.07660566039317 
47092.02636941946 	 489.53125322332863 	 429.773184437401 
46949.15314269399 	 490.8041321956061 	 431.83516205108674 
46957.543875649106 	 491.31514394147155 	 433.5489066498218 
46938.26685346091 	 489.49432270944465 	 436.6241437762068 
